experiment_id,video_id,model_name,technique_name,rag_enabled,gt_ingredient_count,pred_ingredient_count,true_positives,false_positives
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,7,10,7,3
2,DHm89ozTqeU,Llama 3.2 3B Instruct,zero-shot,false,1,4,1,3
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,7,9,7,2
4,DDQnLI_zd75,Llama 3.2 3B Instruct,zero-shot,false,1,3,1,2
5,DCIwgyWvR4-,Llama 3.2 3B Instruct,zero-shot,false,3,6,3,3
6,C_9nDkNOgWS,Llama 3.2 3B Instruct,zero-shot,false,1,8,1,7
7,C8f7YMXS75g,Llama 3.2 3B Instruct,zero-shot,false,1,4,1,3
8,C7kt-JZyx8J,Llama 3.2 3B Instruct,zero-shot,false,3,11,4,7
9,C7F03BqSAng,Llama 3.2 3B Instruct,zero-shot,false,3,8,3,5
11,DWArADckv2A,Llama 3.2 3B Instruct,zero-shot,false,0,8,0,8
12,DV5BZafjOq4,Llama 3.2 3B Instruct,zero-shot,false,1,9,1,8
15,DVU9gqREi88,Llama 3.2 3B Instruct,zero-shot,false,7,8,8,2
16,DWDOV3Ukq2t,Llama 3.2 3B Instruct,zero-shot,false,7,7,7,0
17,DVxNpsVgbBG,Llama 3.2 3B Instruct,zero-shot,false,3,8,3,5
18,DVutKvujazg,Llama 3.2 3B Instruct,zero-shot,false,10,11,10,2
19,DVphyIijuJ_,Llama 3.2 3B Instruct,zero-shot,false,8,11,8,3
20,DVkdLI3FtfP,Llama 3.2 3B Instruct,zero-shot,false,0,8,0,8
21,DSuE2wWEfXr,Llama 3.2 3B Instruct,zero-shot,false,2,5,2,3
22,DIxmuuyz0sC,Llama 3.2 3B Instruct,zero-shot,false,0,5,0,5
23,DE13y7pT_jx,Llama 3.2 3B Instruct,zero-shot,false,12,11,14,0
24,C67f7RfyFAV,Llama 3.2 3B Instruct,zero-shot,false,3,8,3,5
25,C6I4GVsLgnf,Llama 3.2 3B Instruct,zero-shot,false,1,4,1,3
26,C3tobkQJ2nA,Llama 3.2 3B Instruct,zero-shot,false,3,6,3,3
27,C0suZXkxaBG,Llama 3.2 3B Instruct,zero-shot,false,9,14,9,6
28,CxReOIZSoIV,Llama 3.2 3B Instruct,zero-shot,false,5,7,5,2
29,DElwUdQz-v2,Llama 3.2 3B Instruct,zero-shot,false,3,12,3,9
30,C9YrfhUS2lK,Llama 3.2 3B Instruct,zero-shot,false,7,7,7,0
31,DVP2N0hkp7Y,Llama 3.2 3B Instruct,zero-shot,false,12,21,12,11
32,DR6OtTFksZm,Llama 3.2 3B Instruct,zero-shot,false,4,11,4,8
33,DNMxd6Lzy1f,Llama 3.2 3B Instruct,zero-shot,false,3,11,3,8
34,DGw2dWCzWyw,Llama 3.2 3B Instruct,zero-shot,false,1,4,1,3
35,DGuVfoxTYDz,Llama 3.2 3B Instruct,zero-shot,false,2,2,2,0
36,CzTIQqfL2xY,Llama 3.2 3B Instruct,zero-shot,false,11,12,13,1
37,CvyhUe2OHtM,Llama 3.2 3B Instruct,zero-shot,false,9,11,9,2
38,CveBqfspTjD,Llama 3.2 3B Instruct,zero-shot,false,0,17,0,17
39,Ct0jllVrFj4,Llama 3.2 3B Instruct,zero-shot,false,2,16,2,14
40,CrGk9SDpNHM,Llama 3.2 3B Instruct,zero-shot,false,1,13,1,12
41,DHKfyyITTE8,Phi-4-mini 3.8B Instruct,zero-shot,false,2,11,2,9
42,DHm89ozTqeU,Phi-4-mini 3.8B Instruct,zero-shot,false,0,4,0,4
45,DCIwgyWvR4-,Phi-4-mini 3.8B Instruct,zero-shot,false,2,4,3,1
46,C_9nDkNOgWS,Phi-4-mini 3.8B Instruct,zero-shot,false,0,8,0,8
47,C8f7YMXS75g,Phi-4-mini 3.8B Instruct,zero-shot,false,2,5,2,3
48,C7kt-JZyx8J,Phi-4-mini 3.8B Instruct,zero-shot,false,3,10,3,7
49,C7F03BqSAng,Phi-4-mini 3.8B Instruct,zero-shot,false,4,8,4,4
50,C6uo2tySRev,Phi-4-mini 3.8B Instruct,zero-shot,false,5,6,5,1
51,DWArADckv2A,Phi-4-mini 3.8B Instruct,zero-shot,false,1,6,1,5
52,DV5BZafjOq4,Phi-4-mini 3.8B Instruct,zero-shot,false,1,5,1,4
53,DV2cZqiGRUl,Phi-4-mini 3.8B Instruct,zero-shot,false,8,12,8,4
54,DVxWajnjfAI,Phi-4-mini 3.8B Instruct,zero-shot,false,8,13,8,6
55,DVU9gqREi88,Phi-4-mini 3.8B Instruct,zero-shot,false,2,8,2,6
56,DWDOV3Ukq2t,Phi-4-mini 3.8B Instruct,zero-shot,false,3,8,4,4
57,DVxNpsVgbBG,Phi-4-mini 3.8B Instruct,zero-shot,false,1,6,1,5
59,DVphyIijuJ_,Phi-4-mini 3.8B Instruct,zero-shot,false,8,9,8,1
60,DVkdLI3FtfP,Phi-4-mini 3.8B Instruct,zero-shot,false,0,11,0,11
61,DSuE2wWEfXr,Phi-4-mini 3.8B Instruct,zero-shot,false,2,5,2,3
62,DIxmuuyz0sC,Phi-4-mini 3.8B Instruct,zero-shot,false,1,9,1,8
63,DE13y7pT_jx,Phi-4-mini 3.8B Instruct,zero-shot,false,6,12,8,6
64,C67f7RfyFAV,Phi-4-mini 3.8B Instruct,zero-shot,false,3,7,3,4
65,C6I4GVsLgnf,Phi-4-mini 3.8B Instruct,zero-shot,false,3,4,3,1
66,C3tobkQJ2nA,Phi-4-mini 3.8B Instruct,zero-shot,false,2,5,2,3
67,C0suZXkxaBG,Phi-4-mini 3.8B Instruct,zero-shot,false,7,10,8,3
69,DElwUdQz-v2,Phi-4-mini 3.8B Instruct,zero-shot,false,1,7,1,6
70,C9YrfhUS2lK,Phi-4-mini 3.8B Instruct,zero-shot,false,4,5,4,1
71,DVP2N0hkp7Y,Phi-4-mini 3.8B Instruct,zero-shot,false,13,12,13,2
72,DR6OtTFksZm,Phi-4-mini 3.8B Instruct,zero-shot,false,10,18,10,14
73,DNMxd6Lzy1f,Phi-4-mini 3.8B Instruct,zero-shot,false,2,12,2,10
74,DGw2dWCzWyw,Phi-4-mini 3.8B Instruct,zero-shot,false,4,4,4,1
75,DGuVfoxTYDz,Phi-4-mini 3.8B Instruct,zero-shot,false,0,5,0,5
76,CzTIQqfL2xY,Phi-4-mini 3.8B Instruct,zero-shot,false,12,14,16,2
77,CvyhUe2OHtM,Phi-4-mini 3.8B Instruct,zero-shot,false,7,11,7,4
78,CveBqfspTjD,Phi-4-mini 3.8B Instruct,zero-shot,false,7,12,7,5
79,Ct0jllVrFj4,Phi-4-mini 3.8B Instruct,zero-shot,false,2,14,2,12
83,DF4Fc8TTel4,Qwen 2.5 3B Instruct,zero-shot,false,7,9,7,2
84,DDQnLI_zd75,Qwen 2.5 3B Instruct,zero-shot,false,1,3,1,2
85,DCIwgyWvR4-,Qwen 2.5 3B Instruct,zero-shot,false,3,5,3,2
86,C_9nDkNOgWS,Qwen 2.5 3B Instruct,zero-shot,false,6,8,6,2
87,C8f7YMXS75g,Qwen 2.5 3B Instruct,zero-shot,false,1,4,1,3
88,C7kt-JZyx8J,Qwen 2.5 3B Instruct,zero-shot,false,1,6,1,5
89,C7F03BqSAng,Qwen 2.5 3B Instruct,zero-shot,false,4,8,4,4
90,C6uo2tySRev,Qwen 2.5 3B Instruct,zero-shot,false,4,5,4,1
91,DWArADckv2A,Qwen 2.5 3B Instruct,zero-shot,false,0,8,0,8
92,DV5BZafjOq4,Qwen 2.5 3B Instruct,zero-shot,false,1,4,1,3
