experiment_id,video_id,model_name,technique_name,rag_enabled,pred_name_original,pred_name_en,is_hallucinated
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,Sotong,Prawn,0
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,Cili Kering,Dried Chili,0
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,Bawang Besar,Large Onion,1
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih,Garlic,0
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,Halia,Ginger,0
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,Sos Manis ABC,Sweet and Sour Sauce,1
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,Kicap Manis ABC,Sweet Soy Sauce,0
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,Cili Sauce Sambal Asli,Sambal Chili Sauce,1
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,Asam Jawa,Lime Juice,0
1,DHKfyyITTE8,Llama 3.2 3B Instruct,zero-shot,false,Garam,Salt,0
2,DHm89ozTqeU,Llama 3.2 3B Instruct,zero-shot,false,Kulit popiah,Popiah skin,1
2,DHm89ozTqeU,Llama 3.2 3B Instruct,zero-shot,false,Air,Water,1
2,DHm89ozTqeU,Llama 3.2 3B Instruct,zero-shot,false,Vico,Vico,0
2,DHm89ozTqeU,Llama 3.2 3B Instruct,zero-shot,false,Buttercup,Buttercup,1
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,Butter,Butter,0
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,Gula kastor,Gula kastor,0
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,Tepung jagung,Tepung jagung,0
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,Tepung gandum,Tepung gandum,1
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,Telur,Telur,0
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,Kacang hazelnut,Kacang hazelnut,0
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,Kurma,Kurma,0
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,Almond,Almond,1
3,DF4Fc8TTel4,Llama 3.2 3B Instruct,zero-shot,false,Milk compound coklat,Milk compound coklat,0
4,DDQnLI_zd75,Llama 3.2 3B Instruct,zero-shot,false,甦六尿纸,Potato,0
4,DDQnLI_zd75,Llama 3.2 3B Instruct,zero-shot,false,豀园,Tepung goreng ayam,1
4,DDQnLI_zd75,Llama 3.2 3B Instruct,zero-shot,false,起郿,Bread crumb,1
5,DCIwgyWvR4-,Llama 3.2 3B Instruct,zero-shot,false,盢百,banana,0
5,DCIwgyWvR4-,Llama 3.2 3B Instruct,zero-shot,false,中使,vanilla extract,1
5,DCIwgyWvR4-,Llama 3.2 3B Instruct,zero-shot,false,用岶,full cream milk,0
5,DCIwgyWvR4-,Llama 3.2 3B Instruct,zero-shot,false,用岶 王,strawberry syrup (optional),1
5,DCIwgyWvR4-,Llama 3.2 3B Instruct,zero-shot,false,乿元,coffee (Coffiz),1
5,DCIwgyWvR4-,Llama 3.2 3B Instruct,zero-shot,false,疢欢,vanilla ice cream,0
6,C_9nDkNOgWS,Llama 3.2 3B Instruct,zero-shot,false,ன⸠,Butter,0
6,C_9nDkNOgWS,Llama 3.2 3B Instruct,zero-shot,false,த⸠ி,Hollandaise Biscuits,1
6,C_9nDkNOgWS,Llama 3.2 3B Instruct,zero-shot,false,ப⸠,Sossej,1
6,C_9nDkNOgWS,Llama 3.2 3B Instruct,zero-shot,false,஁⸠,Tepung Gandum,1
6,C_9nDkNOgWS,Llama 3.2 3B Instruct,zero-shot,false,ம⸠,Susu Full Cream,1
6,C_9nDkNOgWS,Llama 3.2 3B Instruct,zero-shot,false,ப⸠ி,Cheese De La Fincau,1
6,C_9nDkNOgWS,Llama 3.2 3B Instruct,zero-shot,false,ி⸠,Telur,1
6,C_9nDkNOgWS,Llama 3.2 3B Instruct,zero-shot,false,ப⸠,Bread Crumb,1
7,C8f7YMXS75g,Llama 3.2 3B Instruct,zero-shot,false,னைமி ஖லழப,Enoki Mushroom,0
